CustomerKey,FirstName,MiddleName,LastName,Gender,DateFirstPurchase,Customer City
11058,Marc,NULL,Diaz,Male,2018-03-09,Findon
11059,Ashlee,J,Andersen,Female,2020-02-18,Townsville
11060,Jon,L,Zhou,Male,2018-03-19,Warrnambool
11061,Todd,M,Gao,Male,2018-03-13,Gold Coast
11062,Noah,D,Powell,Male,2020-01-07,Portland
11063,Angela,NULL,Murphy,Female,2020-01-12,Redmond
11064,Chase,NULL,Reed,Male,2020-01-25,Downey
11065,Jessica,NULL,Henderson,Female,2020-02-10,La Jolla
11066,Grace,T,Butler,Female,2020-05-31,Lebanon
11067,Caleb,F,Carter,Male,2020-08-18,Port Orchard
11068,Tiffany,NULL,Liang,Female,2020-04-30,Warrnambool
11069,Carolyn,NULL,Navarro,Female,2018-04-17,Gold Coast
11070,Willie,T,Raji,Male,2018-04-28,Sunbury
11071,Linda,NULL,Serrano,Female,2020-03-01,Hawthorne
11072,Casey,NULL,Luo,Female,2018-03-31,St. Leonards
11073,Amy,NULL,Ye,Female,2020-03-23,Springwood
11074,Levi,A,Arun,Male,2020-03-23,Cloverdale
11075,Felicia,L,Jimenez,Female,2018-04-28,Bendigo
11076,Blake,NULL,Anderson,Male,2018-04-21,Wollongong
11077,Leah,NULL,Ye,Female,2018-04-15,Melton
11078,Gina,E,Martin,Female,2020-02-15,Cliffside
11079,Donald,NULL,Gonzalez,Male,2020-03-15,Geelong
11080,Damien,NULL,Chander,Male,2018-04-10,Perth
11081,Savannah,C,Baker,Female,2020-02-12,Concord
11082,Angela,L,Butler,Female,2020-01-22,Fremont
11083,Alyssa,F,Cox,Female,2020-01-06,Lincoln Acres
11084,Lucas,NULL,Phillips,Male,2020-01-04,Lebanon
11085,Emily,NULL,Johnson,Female,2020-12-06,Newport Beach
11086,Ryan,NULL,Brown,Male,2020-07-02,Santa Monica
11087,Tamara,L,Liang,Female,2020-02-25,Chula Vista
11088,Hunter,NULL,Davis,Male,2020-01-13,San Diego
11089,Abigail,M,Price,Female,2019-12-29,Long Beach
11090,Trevor,NULL,Bryant,Male,2018-08-07,Los Angeles
11091,Dalton,NULL,Perez,Male,2020-01-29,Haney
11092,Cheryl,A,Diaz,Female,2018-04-08,East Brisbane
11093,Aimee,A,He,Female,2018-04-07,Wollongong
11094,Cedric,W,Ma,Male,2020-04-07,Cranbourne
11095,Chad,NULL,Kumar,Male,2018-04-01,Port Macquarie
11096,Andrés,NULL,Anand,Male,2018-04-11,North Sydney
11097,Edwin,R,Nara,Male,2018-04-04,Warrnambool
11098,Mallory,S,Rubio,Female,2020-02-11,Rhodes
11099,Adam,NULL,Ross,Male,2018-04-07,Port Macquarie
11100,Latasha,L,Navarro,Female,2018-04-16,Cloverdale
11101,Abby,L,Sai,Female,2018-04-29,Cranbourne
11102,Julia,L,Nelson,Female,2020-07-16,Sydney
11103,Cassie,NULL,Chande,Female,2018-04-15,Darlinghurst
11104,Edgar,A,Sara,Male,2018-05-04,Gold Coast
11105,Candace,NULL,Fernandez,Female,2018-05-14,Matraville
11106,Jessie,NULL,Liu,Male,2018-05-18,Warrnambool
11107,Bianca,NULL,Lin,Female,2018-05-01,St. Leonards
11108,Kari,C,Alvarez,Female,2018-05-03,Port Macquarie
11109,Ruben,D,Kapoor,Male,2018-05-10,South Melbourne
11110,Curtis,NULL,Yang,Male,2018-05-01,Darlinghurst
11111,Meredith,T,Gutierrez,Female,2018-05-20,Geelong
11112,Crystal,C,Wang,Female,2018-05-25,Hervey Bay
11113,Micheal,A,Blanco,Male,2020-02-01,Perth
11114,Leslie,C,Moreno,Female,2020-03-18,Rhodes
11115,Alvin,D,Cai,Male,2020-02-10,St. Leonards
11116,Clinton,E,Carlson,Male,2020-03-15,Sydney
11117,April,NULL,Deng,Female,2018-05-06,Matraville
11118,Alvin,M,Zeng,Male,2020-07-10,Lavender Bay
11119,Evan,V,James,Male,2020-02-03,Port Macquarie
11120,Beth,H,Jiménez,Female,2018-05-14,Sydney
11121,Orlando,NULL,Suarez,Male,2020-06-24,Newcastle
11122,Byron,NULL,Vazquez,Male,2020-02-21,North Sydney
11123,Philip,A,Alvarez,Male,2020-04-17,Sunbury
11124,Ross,F,Jordan,Male,2018-05-05,Warrnambool
11125,Dana,J,Navarro,Female,2020-01-31,Seaford
11126,Shaun,NULL,Carson,Male,2018-05-28,North Ryde
11127,Jan,NULL,Edwards,Female,2020-04-10,San Gabriel
11128,Samantha,NULL,Long,Female,2020-06-19,Renton
11129,Julia,M,Wright,Female,2018-08-06,Sedro Woolley
11130,Caroline,L,Russell,Female,2020-12-09,Lebanon
11131,Amanda,NULL,Rivera,Female,2020-10-18,Haney
11132,Melissa,E,Richardson,Female,2020-04-09,Langford
11133,Angela,NULL,Griffin,Female,2020-12-30,Lake Oswego
11134,Larry,D,Townsend,Male,2018-05-03,Perth
11135,Marcus,L,Harris,Male,2020-04-18,Burlingame
11136,Brianna,D,Morgan,Female,2020-01-03,Metchosin
11137,Jasmine,A,Taylor,Female,2020-07-31,Spokane
11138,Lauren,NULL,Davis,Female,2020-09-19,Glendale
11139,Tanya,NULL,Moreno,Female,2020-09-14,Cloverdale
11140,Javier,L,Alvarez,Male,2020-03-19,Burbank
11141,Nicole,NULL,Ramirez,Female,2020-05-16,Daly City
11142,Eduardo,NULL,Patterson,Male,2020-02-13,Langford
11143,Jonathan,M,Henderson,Male,2020-06-15,Lakewood
11144,Edward,NULL,Hernandez,Male,2020-01-25,Ballard
11145,Jasmine,L,Coleman,Female,2020-01-25,Beaverton
11146,Karla,L,Goel,Female,2020-02-05,Matraville
11147,Ernest,L,Wu,Male,2018-05-13,Warrnambool
11148,Ross,NULL,Vazquez,Male,2020-03-07,East Brisbane
11149,Theodore,NULL,Gill,Male,2020-06-04,Hervey Bay
11150,Russell,M,Shen,Male,2020-03-27,Sunbury
11151,Melinda,G,Gill,Female,2018-05-15,Sydney
11152,James,J,Williams,Male,2020-01-09,Puyallup
11153,Angela,R,James,Female,2020-03-29,Renton
11154,Megan,G,Walker,Female,2020-01-10,Woodburn
11155,Hunter,J,Robinson,Male,2020-01-06,Burbank
11156,Maria,NULL,Roberts,Female,2020-01-08,Lakewood
11157,Hannah,E,Long,Female,2020-07-24,Tacoma
11158,Jason,K,Wright,Male,2020-01-19,San Gabriel
11159,Brianna,A,Hughes,Female,2020-09-08,Woodland Hills
11160,Maurice,M,Tang,Male,2020-02-21,Concord
11161,Emily,NULL,Wood,Female,2020-06-01,Concord
11162,Chase,NULL,Cox,Male,2020-02-18,La Jolla
11163,Gabriel,NULL,Wang,Male,2020-05-01,Spring Valley
11164,Devin,NULL,Brooks,Male,2020-04-27,Torrance
11165,Jocelyn,NULL,Alexander,Female,2020-05-25,Oakland
11166,Ashley,NULL,Martinez,Female,2020-10-14,Olympia
11167,Jasmine,J,Barnes,Female,2020-01-07,Issaquah
11168,David,NULL,Rodriguez,Male,2020-01-15,Oakland
11169,Bryce,NULL,Richardson,Male,2020-05-26,Coronado
11170,Carol,T,Howard,Female,2020-08-26,Burien
11171,Jonathan,E,Hill,Male,2018-08-20,Woodland Hills
11172,Gabrielle,J,Adams,Female,2020-05-03,Lynnwood
11173,Sarah,F,Thomas,Female,2020-03-02,W. Linn
11174,Nicholas,NULL,Robinson,Male,2020-07-13,Los Angeles
11175,Luis,NULL,Wang,Male,2018-08-28,Beverly Hills
11176,Mason,D,Roberts,Male,2020-02-02,Haney
11177,Jose,M,Flores,Male,2020-03-29,San Diego
11178,Nathan,J,Johnson,Male,2020-02-21,Lakewood
11179,Molly,E,Rodriguez,Female,2020-03-12,Beverly Hills
11180,April,NULL,Anand,Female,2020-03-17,Chula Vista
11181,Devin,P,Martin,Male,2020-05-07,Los Angeles
11182,Stephanie,NULL,Torres,Female,2020-08-28,Sedro Woolley
11183,Jasmine,W,Lee,Female,2020-04-30,Santa Cruz
11184,Meghan,NULL,Hernandez,Female,2020-08-10,Concord
11185,Ashley,NULL,Henderson,Female,2020-02-21,Metchosin
11186,Sarah,C,Price,Female,2020-10-18,Palo Alto
11187,Jennifer,S,Cooper,Female,2020-04-03,Burien
11188,Catherine,NULL,Morris,Female,2020-11-01,San Gabriel
11189,Lawrence,W,Blanco,Male,2018-08-26,Bellingham
11190,Carson,NULL,Bryant,Male,2020-08-28,Beverly Hills
11191,Kristi,E,Perez,Female,2018-08-11,Colma
11192,James,C,Brown,Male,2020-06-23,Seattle
11193,Ian,A,Gray,Male,2020-02-25,Woodburn
11194,Jacqueline,R,Price,Female,2020-03-13,Palo Alto
11195,Megan,NULL,Henderson,Female,2020-04-14,Renton
11196,Alfredo,NULL,Romero,Male,2020-03-03,Beaverton
11197,Andrea,NULL,Morris,Female,2020-05-02,Seattle
11198,Brooke,NULL,Sanders,Female,2020-02-05,Santa Cruz
11199,Jacqueline,NULL,Bennett,Female,2020-03-18,Burlingame
11200,Jason,L,Griffin,Male,2020-02-07,Victoria
11201,Amanda,NULL,Foster,Female,2020-07-01,Santa Monica
11202,Alexia,L,Price,Female,2020-09-15,Lakewood
11203,Luis,D,Diaz,Male,2020-02-20,Port Hammond
11204,Destiny,C,Rivera,Female,2020-08-09,Beaverton
11205,Abby,NULL,Fernandez,Female,2020-07-27,Burien
11206,Blake,NULL,Flores,Male,2020-05-11,Lynnwood
11207,Danielle,NULL,Cox,Female,2020-01-31,Renton
11208,Maria,NULL,Reed,Female,2020-03-04,Glendale
11209,Allison,NULL,Evans,Female,2020-03-25,Lincoln Acres
11210,Edward,J,Wood,Male,2020-05-06,West Covina
11211,Samantha,NULL,Russell,Female,2020-02-01,Haney
11212,Chloe,NULL,Campbell,Female,2020-01-30,Metchosin
11213,Stephanie,B,Murphy,Female,2020-03-28,Edmonds
11214,Charles,O,Miller,Male,2020-08-14,Milwaukie
11215,Ana,NULL,Perry,Female,2020-02-15,Royal Oak
11216,Jasmine,A,Torres,Female,2018-08-15,Portland
11217,Natalie,P,Adams,Female,2018-08-10,Portland
11218,Olivia,NULL,Brown,Female,2020-02-28,Tacoma
11219,Charles,NULL,Cook,Male,2020-10-29,Woodburn
11220,Erica,C,Huang,Female,2020-03-14,Colma
11221,Nathan,NULL,Perry,Male,2020-04-07,Lakewood
11222,Alexandra,NULL,Rivera,Female,2020-11-01,Santa Monica
11223,Hailey,I,Patterson,Female,2020-01-29,Langley
11224,Tiffany,J,Li,Female,2018-08-07,Burien
11225,Madison,D,Lee,Female,2020-06-22,Renton
11226,Sydney,T,Ross,Female,2020-02-21,W. Linn
11227,Marshall,D,Chavez,Male,2018-08-03,Colma
11228,Ashley,R,Jones,Female,2020-10-25,El Cajon
11229,Adrian,C,Stewart,Male,2020-07-27,Redwood City
11230,Amber,NULL,Turner,Female,2020-07-16,Santa Monica
11231,Dennis,NULL,Zhang,Male,2020-02-10,Bremerton
11232,Hailey,R,Bryant,Female,2020-09-20,Everett
11233,Todd,NULL,Li,Male,2020-02-08,Berkeley
11234,Anna,NULL,Griffin,Female,2020-02-08,Long Beach
11235,Angel,J,Stewart,Male,2020-07-04,Ballard
11236,Jeremy,NULL,Butler,Male,2020-10-03,Bellingham
11237,Clarence,M,Anand,Male,2018-09-05,Solingen
11238,Mayra,NULL,Prasad,Female,2018-01-06,Birmingham
11239,Latoya,C,Goel,Female,2018-01-19,London
11240,Anne,B,Hernandez,Female,2018-02-27,Watford
11241,Lisa,NULL,Cai,Female,2019-09-10,Les Ulis
11242,Larry,NULL,Munoz,Male,2019-09-19,Versailles
11243,Robin,V,Alvarez,Female,2018-02-21,Esher-Molesey
11244,Alexis,M,Coleman,Female,2018-02-12,Runcorn
11245,Ricky,D,Vazquez,Male,2018-09-26,Hamburg
11246,Latasha,NULL,Rubio,Female,2018-10-03,Hamburg
11247,Claudia,M,Zhou,Female,2018-02-18,Lancaster
11248,Tristan,P,Alexander,Male,2020-07-14,Saint-Denis
11249,Cindy,A,Patel,Female,2018-10-09,Sulzbach Taunus
11250,Shannon,D,Liu,Female,2018-03-17,Woolston
11251,Xavier,NULL,Long,Male,2020-10-18,Haney
11252,Nicholas,D,Thompson,Male,2018-08-14,Lemon Grove
11253,José,M,Hernandez,Male,2020-03-01,Victoria
11254,Johnathan,W,Vance,Male,2020-11-23,Burien
11255,Colin,NULL,Lin,Male,2020-02-23,Burien
11256,Katelyn,L,Hernandez,Female,2020-04-15,Lynnwood
11257,Jacqueline,NULL,Powell,Female,2018-08-24,Newport Beach
11258,Xavier,NULL,Hill,Male,2020-05-21,Palo Alto
11259,Victoria,C,Stewart,Female,2018-09-04,Salem
11260,Katelyn,L,Kelly,Female,2020-02-05,Burlingame
11261,Stephanie,NULL,Collins,Female,2018-09-27,San Diego
11262,Jennifer,NULL,Simmons,Female,2020-02-27,Port Hammond
11263,Trinity,NULL,Richardson,Female,2018-08-29,Burien
11264,Eduardo,NULL,Martin,Male,2020-01-02,Issaquah
11265,Elizabeth,P,Jones,Female,2020-01-03,Kirkland
11266,Taylor,NULL,Howard,Female,2018-09-10,Port Orchard
11267,David,NULL,Diaz,Male,2018-09-17,Burlingame
11268,Katelyn,A,Carter,Female,2020-05-29,Coronado
11269,Ryan,W,Foster,Male,2020-08-22,Daly City
11270,Robert,L,Lee,Male,2018-09-10,Lakewood
11271,Danielle,C,Reed,Female,2018-09-27,San Francisco
11272,Lauren,L,Martinez,Female,2018-09-19,Beverly Hills
11273,Nathan,E,Lal,Male,2020-05-14,La Jolla
11274,Kyle,M,Foster,Male,2018-08-29,Bellingham
11275,Jenny,D,Rai,Female,2018-08-30,Colma
11276,Nancy,E,Chapman,Female,2020-01-29,Cliffside
11277,Charles,P,Jackson,Male,2020-02-02,Royal Oak
11278,Jonathan,NULL,Phillips,Male,2018-09-16,Edmonds
11279,Amanda,S,Cook,Female,2020-03-03,Everett
11280,Robert,NULL,Collins,Male,2020-07-01,Lynnwood
11281,Megan,J,Barnes,Female,2018-09-13,Burbank
11282,Christian,A,Thomas,Male,2018-08-31,Burien
11283,Arturo,NULL,Lal,Male,2020-05-29,Berkeley
11284,Theresa,NULL,Serrano,Female,2020-02-06,Chula Vista
11285,Jeremy,J,Anderson,Male,2020-07-27,Fremont
11286,Hunter,D,Griffin,Male,2018-09-21,Torrance
11287,Henry,B,Garcia,Male,2020-01-29,Cliffside
11288,Cindy,K,Sanchez,Female,2020-03-05,Burbank
11289,Maria,S,Carter,Female,2018-09-08,Downey
11290,Katelyn,NULL,Sanchez,Female,2018-09-20,Lakewood
11291,Jenna,NULL,Wright,Female,2018-09-04,Lemon Grove
11292,Seth,NULL,Phillips,Male,2018-09-15,San Gabriel
11293,Luke,S,Long,Male,2020-02-24,Port Orchard
11294,Dalton,P,Clark,Male,2020-09-25,Issaquah
11295,Taylor,G,Lewis,Female,2018-09-25,Concord
11296,Haley,NULL,Richardson,Female,2018-09-01,Everett
11297,Noah,NULL,Coleman,Male,2018-09-26,Burbank
11298,Jon,NULL,Luo,Male,2018-09-12,Chula Vista
11299,Orlando,E,Vazquez,Male,2018-09-26,Burbank
11300,Fernando,NULL,Barnes,Male,2020-01-31,N. Vancouver
11301,Cameron,L,Rodriguez,Male,2020-06-09,Ballard
11302,Spencer,NULL,Russell,Male,2018-09-06,Corvallis
11303,Julia,NULL,Coleman,Female,2018-09-02,Edmonds
11304,Julia,B,Garcia,Female,2020-03-20,Portland
11305,Sean,A,Evans,Male,2020-03-25,Chula Vista
11306,Micah,A,Zhou,Male,2020-06-30,Coronado
11307,Hunter,P,Rodriguez,Male,2018-09-04,Daly City
11308,Ian,T,Gonzales,Male,2020-09-07,Oregon City
11309,Victoria,NULL,Lewis,Female,2020-07-09,Beaverton
11310,Erin,A,Sanders,Female,2020-08-12,San Francisco
11311,Gabrielle,D,Lopez,Female,2020-04-18,Lynnwood
11312,Sara,NULL,Richardson,Female,2020-05-17,Lynnwood
11313,Trevor,NULL,Jenkins,Male,2020-05-07,Port Orchard
11314,Mya,NULL,Flores,Female,2020-02-25,Issaquah
11315,Hailey,J,Ward,Female,2020-05-20,Port Orchard
11316,Luke,NULL,Allen,Male,2020-01-12,Langford
11317,Victoria,D,Russell,Female,2018-09-01,Salem
11318,Jessica,NULL,Wilson,Female,2020-10-17,Edmonds
11319,Jade,E,Bailey,Female,2018-09-09,Oakland
11320,Morgan,M,Hill,Female,2020-06-15,Glendale
11321,Terrance,D,Raman,Male,2020-02-23,Burien
11322,Sydney,NULL,Garcia,Female,2020-03-24,Bremerton
11323,Jose,NULL,Patterson,Male,2018-09-10,Daly City
11324,Zachary,NULL,Anderson,Male,2018-09-26,Glendale
11325,Elijah,E,Ross,Male,2018-09-19,Seattle
11326,Rafael,M,Xie,Male,2018-09-15,Beverly Hills
11327,Jaime,C,Moreno,Male,2018-09-26,Burbank
11328,Julian,M,Griffin,Male,2020-01-05,Newton
11329,Andy,NULL,Alvarez,Male,2018-09-25,Concord
11330,Ryan,M,Thompson,Male,2020-02-12,Oak Bay
11331,Samantha,NULL,Jenkins,Female,2020-02-07,Shawnee
11332,Deanna,D,Ramos,Female,2018-10-15,Berlin
11333,Emily,R,Miller,Female,2018-03-21,Newcastle upon Tyne
11334,Nicole,NULL,Brown,Female,2018-03-04,Stoke-on-Trent
11335,Carla,L,Raman,Female,2018-10-23,Hof
11336,Shaun,NULL,Raji,Male,2019-09-27,Paris
11337,Jerome,NULL,Romero,Male,2018-03-09,Watford
11338,Frank,F,Navarro,Male,2018-10-11,Bonn
11339,Dennis,M,She,Male,2019-10-07,Paris
11340,Melody,C,Munoz,Female,2019-10-27,Paris
11341,Randy,A,Zeng,Male,2018-04-11,Cheltenham
11342,Marshall,L,Wang,Male,2020-07-12,Boulogne-sur-Mer
11343,Arthur,P,Carlson,Male,2018-04-04,Oxon
11344,Jessie,NULL,Jimenez,Female,2018-05-13,Oxford
11345,Robin,NULL,Ramos,Female,2019-10-22,Tremblay-en-France
11346,Deanna,E,Gutierrez,Female,2019-10-01,Paris
11347,Roy,T,Navarro,Male,2020-03-16,Braunschweig
11348,Shawn,NULL,Rai,Male,2020-03-31,Paderborn
11349,Mindy,J,Luo,Female,2021-01-13,München
11350,Cara,NULL,Zhou,Female,2020-02-05,Peterborough
11351,Anne,R,Ramos,Female,2018-06-12,London
11352,Raymond,A,Rodriguez,Male,2020-05-01,Pantin
11353,Carrie,L,Ortega,Female,2018-06-12,Warrington
11354,Deanna,NULL,Suarez,Female,2020-12-03,Grevenbroich
11355,Roberto,NULL,Gutierrez,Male,2020-09-26,Wokingham
11356,Terrence,NULL,Carson,Male,2018-05-10,Lavender Bay
11357,Ramon,NULL,Ye,Male,2018-06-18,Caloundra
11358,Cynthia,NULL,Malhotra,Female,2018-06-28,Coffs Harbour
11359,Jarrod,NULL,Prasad,Male,2018-06-13,Malabar
11360,Tyrone,NULL,Serrano,Male,2018-06-27,Rockhampton
11361,Cindy,G,Ramos,Female,2020-10-01,Newcastle
11362,Damien,M,Shan,Male,2020-03-29,Cranbourne
11363,Julian,NULL,Ross,Male,2018-06-08,Melbourne
11364,Jennifer,NULL,Collins,Female,2018-06-07,Geelong
11365,Brittney,NULL,Sun,Female,2018-05-31,Findon
11366,Virginia,R,Patel,Female,2020-06-24,Seaford
11367,Calvin,J,Nara,Male,2020-07-07,North Sydney
11368,Edward,NULL,Miller,Male,2018-06-24,Rockhampton
11369,Ashlee,D,Tang,Female,2020-07-05,Findon
11370,Alicia,NULL,Xu,Female,2020-07-13,South Melbourne
11371,Lacey,C,Jai,Female,2020-11-07,Rockhampton
11372,Wendy,H,Romero,Female,2018-06-07,Brisbane
11373,Carly,H,Luo,Female,2020-08-27,Salzgitter
11374,Jimmy,M,Ortega,Male,2020-04-15,Werne
11375,Francisco,NULL,Martinez,Male,2020-10-17,High Wycombe
11376,Lance,NULL,Vazquez,Male,2020-10-15,Liverpool
11377,David,R.,Robinett,Male,2020-02-28,Solingen
11378,Shannon,NULL,Liang,Female,2019-10-17,Metz
11379,Gary,NULL,Vazquez,Male,2019-10-02,Boulogne-Billancourt
11380,Mitchell,L,Kumar,Male,2018-10-11,Saarlouis
11381,Meredith,NULL,Raman,Female,2018-06-12,London
11382,Edward,NULL,Patterson,Male,2019-11-03,Roubaix
11383,Marie,NULL,Gill,Female,2021-01-01,Roissy en Brie
11384,Tiffany,E,Wang,Female,2020-08-02,Les Ulis
11385,Miguel,C,Allen,Male,2020-07-06,York
11386,Jaclyn,NULL,Cai,Female,2020-11-02,Darmstadt
11387,Megan,C,Ramirez,Female,2018-07-26,Gateshead
11388,Joseph,NULL,Martin,Male,2018-07-03,York
11389,Karl,J,Shan,Male,2020-11-17,Duesseldorf
11390,Christine,J,Raji,Female,2020-11-07,Saint Germain en Laye
11391,Lindsay,T,Xie,Female,2020-10-26,Salzgitter
11392,Willie,NULL,Zhao,Male,2020-03-29,Frankfurt
11393,Kurt,B,Pal,Male,2020-07-16,Saint Ouen
11394,George,NULL,McDonald,Male,2018-07-04,Milton Keynes
11395,Beth,C,Gutierrez,Female,2018-11-14,Frankfurt
11396,Ian,G,Lopez,Male,2020-10-26,Saarlouis
11397,Latoya,R,Shan,Female,2020-07-07,Paris
11398,Colin,N,Nath,Male,2018-07-03,Newcastle upon Tyne
11399,Brenda,F,Mehta,Female,2020-04-13,Paris
11400,Franklin,NULL,Raji,Male,2018-07-15,London
11401,Linda,NULL,Navarro,Female,2019-10-28,Paris
11402,Kelli,R,Cai,Female,2019-11-07,Orleans
11403,Nancy,NULL,Schmidt,Female,2019-10-28,Saint Ouen
11404,Megan,E,Taylor,Female,2020-02-10,Kassel
11405,Bonnie,NULL,Goel,Female,2020-03-31,Bonn
11406,Latoya,L,Xu,Female,2019-11-04,Paris
11407,Mario,NULL,She,Male,2020-06-23,Münster
11408,Darren,M,Gill,Male,2020-03-05,London
11409,Jacqueline,H,Hayes,Female,2019-11-17,Saint Germain en Laye
11410,Maurice,NULL,Goel,Male,2019-11-13,Paris
11411,Devin,A,Ross,Male,2020-08-04,Ingolstadt
11412,Sydney,S,Bryant,Female,2018-11-05,Ingolstadt
11413,Megan,L,Stewart,Female,2018-08-10,Gateshead
11414,Ian,NULL,Richardson,Male,2018-08-13,Kirkby
11415,Randy,H,She,Male,2020-08-16,Darmstadt
11416,Katrina,NULL,Becker,Female,2019-11-07,Croix
11417,Lacey,C,Zheng,Female,2019-11-04,Pantin
11418,Rafael,J,Hu,Male,2020-12-17,Paderborn
11419,Kyle,D,Scott,Male,2020-03-12,Watford
11420,Jordan,C,Turner,Male,2019-11-01,Roubaix
11421,Amy,C,Sun,Female,2018-11-03,Offenbach
11422,Dustin,F,Deng,Male,2018-08-22,Liverpool
11423,Jasmine,NULL,Stewart,Female,2018-12-10,Hamburg
11424,Pamela,S,Garcia,Female,2020-04-21,Berlin
11425,Ariana,D,Gray,Female,2019-11-22,Metz
11426,Kristopher,NULL,Mehta,Male,2020-04-09,Braunschweig
11427,Desiree,S,Dominguez,Female,2018-12-20,Kiel
11428,Deanna,NULL,Perez,Female,2018-12-05,Poing
11429,Marco,NULL,Lopez,Male,2019-12-14,Sèvres
11430,Casey,K,Yuan,Female,2020-03-19,Bottrop
11431,Bryant,NULL,Garcia,Male,2018-12-21,Hof
11432,Dominique,L,Prasad,Female,2019-12-10,Roissy en Brie
11433,Maurice,M,Shan,Male,2019-12-02,Tremblay-en-France
11434,Andre,NULL,Lopez,Male,2020-06-15,West Sussex
11435,Robin,NULL,Romero,Female,2021-01-04,Kiel
11436,Taylor,NULL,Cox,Female,2020-05-22,Watford
11437,Alfredo,NULL,Moreno,Male,2020-12-19,Villeneuve-d'Ascq
11438,Jenny,NULL,Nara,Female,2020-02-05,Werne
11439,Janet,NULL,Munoz,Female,2019-11-29,Paris La Defense
11440,Sergio,C,Weber,Male,2020-03-27,Lille
11441,Erika,NULL,Gomez,Female,2021-01-08,Paris
11442,Joseph,D,Harris,Male,2020-09-29,Tremblay-en-France
11443,Grace,NULL,Griffin,Female,2018-06-07,Hobart
11444,Tina,C,Mehta,Female,2018-06-01,Bendigo
11445,Kari,S,Kim,Female,2018-06-06,Silverwater
